Frame: 49949, Time: 02:47:54
Frame: 49950, Time: 02:47:54
Frame: 49951, Time: 02:47:54
Frame: 49952, Time: 02:47:55
Frame: 49953, Time: 02:47:55
Frame: 49954, Time: 02:47:55
Frame: 49955, Time: 02:47:55
Frame: 49956, Time: 02:47:55
Frame: 49957, Time: 02:47:56
Frame: 49958, Time: 02:47:56
Frame: 49959, Time: 02:47:56
Frame: 49960, Time: 02:47:56
Frame: 49961, Time: 02:47:56
Frame: 49962, Time: 02:47:57
Frame: 49963, Time: 02:47:57
Frame: 49964, Time: 02:47:57
Frame: 49965, Time: 02:47:57
Frame: 49966, Time: 02:47:57
Frame: 49967, Time: 02:47:58
Frame: 49968, Time: 02:47:58
Frame: 49969, Time: 02:47:58
Frame: 51186, Time: 02:52:03
Frame: 51187, Time: 02:52:04
Frame: 51188, Time: 02:52:04
Frame: 51189, Time: 02:52:04
Frame: 51191, Time: 02:52:04
Frame: 51192, Time: 02:52:05
Frame: 51193, Time: 02:52:05
Frame: 51194, Time: 02:52:05
Frame: 51195, Time: 02:52:05
Frame: 51196, Time: 02:52:05
Frame: 51197, Time: 02:52:06
Frame: 51198, Time: 02:52:06
Frame: 51199, Time: 02:52:06
Frame: 51200, Time: 02:52:06
Frame: 51201, Time: 02:52:06
Frame: 51202, Time: 02:52:07
Frame: 51203, Time: 02:52:07
Frame: 51204, Time: 02:52:07
Frame: 51205, Time: 02:52:07
Frame: 51206, Time: 02:52:07
Frame: 51207, Time: 02:52:08
Frame: 51208, Time: 02:52:08
Frame: 51209, Time: 02:52:08
Frame: 51210, Time: 02:52:08
Frame: 51211, Time: 02:52:08
Frame: 51212, Time: 02:52:09
Frame: 51213, Time: 02:52:09
Frame: 52828, Time: 02:57:35
Frame: 52829, Time: 02:57:35
Frame: 52830, Time: 02:57:35
Frame: 52831, Time: 02:57:35
Frame: 52833, Time: 02:57:36
Frame: 52834, Time: 02:57:36
Frame: 52835, Time: 02:57:36
Frame: 52836, Time: 02:57:36
Frame: 52837, Time: 02:57:36
Frame: 52838, Time: 02:57:37
Frame: 52839, Time: 02:57:37
Frame: 52840, Time: 02:57:37
Frame: 52841, Time: 02:57:37
Frame: 52842, Time: 02:57:37
Frame: 52843, Time: 02:57:38
Frame: 52844, Time: 02:57:38
Frame: 52845, Time: 02:57:38
Frame: 52846, Time: 02:57:38
Frame: 52847, Time: 02:57:38
Frame: 52848, Time: 02:57:39
